pattern,parent_tag,caller,method
The package {} is incompatible with the python version in use. Acceptable python versions are: {},args,logger,debug
"Found link {}, version: {}",args,logger,debug
Ignoring error {} when setting locale,args,logger,debug
Will be working with {} variant only,args,logger,debug
Skipping loading configuration files due to environment's PIP_CONFIG_FILE being os.devnull,args,logger,debug
Skipping file '{}' (variant: {}),args,logger,debug
"For variant '{}', will try loading '{}'",args,logger,debug
Created requirements tracker {},args,logger,debug
Re-using requirements tracker {},args,logger,debug
Added {} to build tracker {},args,logger,debug
Removed {} from build tracker {},args,logger,debug
{} build tracker {},args,logger,debug
Setting {} extras to: {},args,logger,debug
Cleaning up...,args,logger,debug
Replacing {} from {},args,logger,debug
Exception: {},args,logger,debug
Removing file or directory {},args,logger,debug
Not sure how to uninstall: {} - Check: {},args,logger,debug
Removing pth entries from {}:,args,logger,debug
Removing entry: {},args,logger,debug
Rolling {} back to previous state,args,logger,debug
Using cached wheel link: {},args,logger,debug
Creating directory {},args,logger,debug
Moving package {} from {} to new location {},args,logger,debug
Removing source in {},args,logger,debug
Running setup.py (path:{}) egg_info for package {},args,logger,debug
Running setup.py (path:{}) egg_info for package from {},args,logger,debug
"Source in {} has version {}, which satisfies requirement {}",args,logger,debug
Cannot update repository at {}; repository location is unknown,args,logger,debug
Record file {} not found,args,logger,debug
lzma module is not available,args,logger,debug
Running command {},args,logger,debug
There was an error checking the latest version of pip,args,logger,debug
could not determine if {} is under git control because git is not available,args,logger,debug
Registered VCS backend: {},args,logger,debug
Determine that {} uses VCS: {},args,logger,debug
"{} in {} exists, and has correct URL ({})",args,logger,debug
Checking in {} for {} ({})...,args,logger,debug
"Since it is already installed, we are trusting this package without checking its hash. To ensure a completely repeatable environment, install into an empty virtualenv.",args,logger,debug
No VCS found for editable requirement {} in: {},args,logger,debug
Ignoring indexes: {},args,logger,debug
Ignoring configuration key '{}' as it's value is empty.,args,logger,debug
Exception information:,args,logger,debug
--prefix=,args,install_options,append
Location,args,header,append
Installer,args,header,append
--no-index,args,args,append
genshi,args,__all__,append
invalid-codepoint,args,,append
